name,points,clears
Samp|etext,35.00000000000001,13
☆Stario86★,60.800000000000026,27
tj_smm,16.7,6
Plunts,9.4,4
ktimmy,25.9,10
cdg271,9.3,4
michs,5.9,2
るどん,4.2,1
GTIstyLaaa,36.1,15
Barnacles1,54.900000000000034,25
PelKariya,10.899999999999999,4
Koalasama!,14.2,5
|-_-|(-_-),50.40000000000002,19
Pascal☆MM,53.700000000000024,22
Peggy Sue,42.00000000000001,19
Maki77SMM2,44.80000000000002,20
Billiam911,25.4,10
☆Elvis,4.2,1
mgjuyt,10.0,3
WolfiePawz,19.499999999999996,9
たけしゃん,88.50000000000003,36
MLM35,8.2,5
Wiltini,68.60000000000002,28
jaredspear,32.9,13
Rastalive,4.2,1
MaloMart,8.4,3
